"","ID","Sex","Age","group_sk_fl_neu","date","expName","psychopyVersion","OS","frameRate","test_chose_targ.x","test_chose_targ.y","test_chose_targ.leftButton","test_chose_targ.midButton","test_chose_targ.rightButton","test_chose_targ.time","test_chose_targ.corr","test_chose_targ.clicked_name","test_chose_targ.clicked_pos","test_loop.thisRepN","test_loop.thisTrialN","test_loop.thisN","test_loop.thisIndex","test_loop.ran","test_indicator","stim_name","stim_id","stim_descr","stim_fav","stim_freq","matrix_type","taget_posititon","chose_targ.x","chose_targ.y","chose_targ.leftButton","chose_targ.midButton","chose_targ.rightButton","chose_targ.time","chose_targ.corr","chose_targ.clicked_name","chose_targ.clicked_pos","main_loop.thisRepN","main_loop.thisTrialN","main_loop.thisN","main_loop.thisIndex","main_loop.ran","test_loop.thisTriAL2N","main_loop.thisTriAL2N"
"1",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,11,"settings",31,"изменить настройки устройства",1,1,1,"[-0.19167,0.19167]",-153,194,1,0,0,1.805,1,"target","[-0.19167,0.19167]",0,0,0,0,1,NA,NA
"2",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,88,"compass",10,"узнать, в какой стороне света Юг",0,0,3,"[0.19353000000000004,0.0018600000000000283]",180,30,1,0,0,3.44,1,"target","[0.19353000000000004,0.0018600000000000283]",1,0,1,0,1,NA,NA
"3",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,10,"time",35,"посмотреть, сколько времени во Владивостоке",1,1,1,"[0.19167,0]",166,-5,1,0,0,1.561,1,"target","[0.19167,0]",3,0,3,0,1,NA,NA
"4",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,2,"train",36,"приобрести билеты на поезд",1,0,1,"[0.19167,-0.19167]",173,-168,1,0,0,3.244,1,"target","[0.19167,-0.19167]",4,0,4,0,1,NA,NA
"5",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,44,"calendar",7,"узнать на какой день недели выпадает мой день рождения",1,1,2,"[-0.09443999999999997,0.09723000000000004]",-86,90,1,0,0,3.094,1,"target","[-0.09443999999999997,0.09723000000000004]",5,0,5,0,1,NA,NA
"6",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,68,"phone",28,"сделать телефонный звонок",1,1,3,"[0.19353000000000004,0.19353000000000004]",178,169,1,0,0,3.007,1,"target","[0.19353000000000004,0.19353000000000004]",6,0,6,0,1,NA,NA
"7",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,24,"ruler",30,"измерить длину предмета",0,0,1,"[0,-0.19167]",1,-193,1,0,0,1.945,1,"target","[0,-0.19167]",8,0,8,0,1,NA,NA
"8",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,70,"music",25,"послушать музыку",1,1,3,"[0.19353000000000004,0.19353000000000004]",175,179,1,0,0,1.574,1,"target","[0.19353000000000004,0.19353000000000004]",9,0,9,0,1,NA,NA
"9",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,57,"documents",13,"открыть сохраненные офисные документы",0,0,2,"[0.09723000000000004,0.28890000000000005]",95,266,1,0,0,2.342,1,"target","[0.09723000000000004,0.28890000000000005]",10,0,10,0,1,NA,NA
"10",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,80,"download",14,"открыть скачанный файл",0,0,3,"[-0.18980999999999998,-0.38148]",-175,-350,1,0,0,1.991,1,"target","[-0.18980999999999998,-0.38148]",11,0,11,0,1,NA,NA
"11",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,40,"maps",22,"узнать, где находится ближайший продуктовый магазин",1,1,2,"[0.09723000000000004,0.28890000000000005]",93,258,1,0,0,3.06,1,"target","[0.09723000000000004,0.28890000000000005]",13,0,13,0,1,NA,NA
"12",1,"f",21,"neu","2024-04-18_18h17.05.085","Visual_search_sk","2023.2.3","MacIntel",58.82352941,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,31,"calculator",6,"разделить число на 3",1,1,2,"[0.09723000000000004,0.28890000000000005]",93,256,1,0,0,1.51,1,"target","[0.09723000000000004,0.28890000000000005]",14,0,14,0,1,NA,NA
